emotion,mean,std_dev
admiration,0.21,0.04
amusement,0.14,0.03
anger,0.76,0.07
annoyance,0.39,0.06
anticipation,0.55,0.06
approval,0.52,0.07
caring,0.67,0.08
confusion,0.58,0.03
curiosity,0.63,0.02
desire,0.40,0.10
disappointment,0.58,0.07
disapproval,0.40,0.07
disgust,0.50,0.06
embarrassment,0.68,0.05
excitement,0.47,0.04
fear,0.25,0.07
gratitude,0.63,0.04
grief,0.14,0.04
joy,0.14,0.03
love,0.48,0.03
nervousness,0.19,0.02
optimism,0.29,0.03
pride,0.51,0.06
realization,0.23,0.04
relief,0.65,0.03
remorse,0.50,0.05
sadness,0.48,0.03
surprise,0.24,0.04
