emotion,mean,std_dev
admiration,0.19,0.02
amusement,0.10,0.01
anger,0.55,0.06
annoyance,0.36,0.04
anticipation,0.56,0.02
approval,0.54,0.03
caring,0.79,0.03
confusion,0.61,0.04
curiosity,0.62,0.02
desire,0.39,0.03
disappointment,0.59,0.03
disapproval,0.44,0.04
disgust,0.56,0.02
embarrassment,0.61,0.03
excitement,0.76,0.03
fear,0.17,0.02
gratitude,0.53,0.03
grief,0.11,0.01
joy,0.10,0.01
love,0.63,0.05
nervousness,0.15,0.01
optimism,0.25,0.01
pride,0.46,0.04
realization,0.16,0.01
relief,0.68,0.02
remorse,0.52,0.04
sadness,0.42,0.02
surprise,0.23,0.02
