emotion,mean,std_dev
admiration,0.47,0.10
amusement,0.25,0.08
anger,0.25,0.11
annoyance,0.32,0.08
anticipation,0.48,0.06
approval,0.72,0.06
caring,0.58,0.08
confusion,0.57,0.06
curiosity,0.58,0.02
desire,0.18,0.03
disappointment,0.35,0.05
disapproval,0.21,0.03
disgust,0.39,0.04
embarrassment,0.45,0.11
excitement,0.28,0.05
fear,0.65,0.12
gratitude,0.37,0.05
grief,0.39,0.13
joy,0.49,0.08
love,0.45,0.06
nervousness,0.43,0.06
optimism,0.38,0.05
pride,0.49,0.03
realization,0.72,0.08
relief,0.57,0.04
remorse,0.36,0.09
sadness,0.49,0.05
surprise,0.45,0.04
