emotion,mean,std_dev
admiration,0.55,0.08
amusement,0.20,0.03
anger,0.19,0.04
annoyance,0.24,0.03
anticipation,0.68,0.03
approval,0.82,0.03
caring,0.27,0.05
confusion,0.42,0.01
curiosity,0.64,0.01
desire,0.15,0.03
disappointment,0.39,0.07
disapproval,0.23,0.07
disgust,0.28,0.07
embarrassment,0.32,0.01
excitement,0.27,0.05
fear,0.67,0.05
gratitude,0.34,0.05
grief,0.34,0.08
joy,0.61,0.10
love,0.41,0.07
nervousness,0.45,0.05
optimism,0.44,0.04
pride,0.61,0.03
realization,0.70,0.04
relief,0.58,0.05
remorse,0.35,0.07
sadness,0.44,0.02
surprise,0.50,0.03
