emotion,mean,std_dev
admiration,0.38,0.06
amusement,0.16,0.01
anger,0.19,0.02
annoyance,0.16,0.02
anticipation,0.54,0.05
approval,0.70,0.04
caring,0.34,0.04
confusion,0.28,0.04
curiosity,0.43,0.02
desire,0.25,0.03
disappointment,0.22,0.03
disapproval,0.20,0.02
disgust,0.31,0.06
embarrassment,0.13,0.01
excitement,0.87,0.03
fear,0.32,0.04
gratitude,0.33,0.02
grief,0.20,0.01
joy,0.40,0.04
love,0.73,0.03
nervousness,0.48,0.03
optimism,0.42,0.04
pride,0.71,0.03
realization,0.57,0.07
relief,0.54,0.04
remorse,0.37,0.03
sadness,0.31,0.02
surprise,0.42,0.02
