emotion,mean,std_dev
admiration,0.31,0.04
amusement,0.25,0.03
anger,0.74,0.07
annoyance,0.41,0.04
anticipation,0.62,0.04
approval,0.57,0.04
caring,0.40,0.04
confusion,0.53,0.02
curiosity,0.66,0.02
desire,0.23,0.05
disappointment,0.64,0.04
disapproval,0.46,0.06
disgust,0.44,0.06
embarrassment,0.69,0.04
excitement,0.40,0.02
fear,0.28,0.04
gratitude,0.47,0.03
grief,0.22,0.02
joy,0.20,0.02
love,0.47,0.03
nervousness,0.30,0.03
optimism,0.48,0.02
pride,0.59,0.02
realization,0.32,0.04
relief,0.54,0.02
remorse,0.34,0.07
sadness,0.48,0.02
surprise,0.31,0.04
