emotion,mean,std_dev
admiration,0.36,0.03
amusement,0.18,0.06
anger,0.28,0.07
annoyance,0.28,0.06
anticipation,0.63,0.04
approval,0.69,0.03
caring,0.83,0.03
confusion,0.70,0.04
curiosity,0.68,0.02
desire,0.30,0.07
disappointment,0.34,0.03
disapproval,0.26,0.02
disgust,0.46,0.03
embarrassment,0.59,0.10
excitement,0.33,0.06
fear,0.32,0.05
gratitude,0.55,0.11
grief,0.27,0.08
joy,0.31,0.01
love,0.39,0.07
nervousness,0.22,0.04
optimism,0.34,0.05
pride,0.46,0.04
realization,0.27,0.06
relief,0.70,0.05
remorse,0.58,0.14
sadness,0.40,0.03
surprise,0.32,0.03
