emotion,mean,std_dev
admiration,0.34,0.03
amusement,0.13,0.03
anger,0.38,0.11
annoyance,0.35,0.13
anticipation,0.41,0.03
approval,0.57,0.07
caring,0.85,0.03
confusion,0.74,0.05
curiosity,0.59,0.05
desire,0.38,0.05
disappointment,0.42,0.12
disapproval,0.31,0.09
disgust,0.44,0.09
embarrassment,0.30,0.11
excitement,0.35,0.10
fear,0.43,0.08
gratitude,0.60,0.10
grief,0.14,0.03
joy,0.32,0.04
love,0.34,0.06
nervousness,0.34,0.09
optimism,0.27,0.06
pride,0.42,0.04
realization,0.25,0.07
relief,0.67,0.04
remorse,0.71,0.10
sadness,0.50,0.04
surprise,0.29,0.03
