emotion,mean,std_dev
admiration,0.58,0.03
amusement,0.51,0.09
anger,0.08,0.01
annoyance,0.12,0.01
anticipation,0.67,0.02
approval,0.77,0.02
caring,0.41,0.03
confusion,0.44,0.04
curiosity,0.53,0.03
desire,0.10,0.02
disappointment,0.17,0.02
disapproval,0.08,0.01
disgust,0.23,0.01
embarrassment,0.86,0.02
excitement,0.13,0.01
fear,0.71,0.06
gratitude,0.29,0.02
grief,0.78,0.03
joy,0.53,0.04
love,0.24,0.02
nervousness,0.56,0.04
optimism,0.45,0.03
pride,0.53,0.02
realization,0.61,0.04
relief,0.45,0.02
remorse,0.22,0.04
sadness,0.61,0.03
surprise,0.35,0.03
