emotion,mean,std_dev
admiration,0.54,0.03
amusement,0.40,0.06
anger,0.27,0.06
annoyance,0.20,0.05
anticipation,0.50,0.03
approval,0.58,0.03
caring,0.50,0.07
confusion,0.61,0.05
curiosity,0.77,0.09
desire,0.17,0.04
disappointment,0.24,0.06
disapproval,0.15,0.04
disgust,0.24,0.06
embarrassment,0.81,0.05
excitement,0.26,0.07
fear,0.45,0.05
gratitude,0.30,0.05
grief,0.49,0.08
joy,0.30,0.04
love,0.40,0.06
nervousness,0.64,0.09
optimism,0.51,0.03
pride,0.36,0.05
realization,0.41,0.04
relief,0.52,0.06
remorse,0.38,0.08
sadness,0.61,0.08
surprise,0.29,0.04
