emotion,mean,std_dev
admiration,0.17,0.01
amusement,0.19,0.02
anger,0.77,0.03
annoyance,0.72,0.02
anticipation,0.37,0.03
approval,0.47,0.03
caring,0.78,0.03
confusion,0.70,0.02
curiosity,0.62,0.04
desire,0.58,0.05
disappointment,0.81,0.02
disapproval,0.52,0.05
disgust,0.58,0.04
embarrassment,0.60,0.03
excitement,0.32,0.02
fear,0.19,0.04
gratitude,0.56,0.03
grief,0.13,0.01
joy,0.10,0.01
love,0.33,0.03
nervousness,0.17,0.01
optimism,0.26,0.02
pride,0.40,0.02
realization,0.18,0.02
relief,0.60,0.02
remorse,0.54,0.05
sadness,0.52,0.02
surprise,0.22,0.03
